mrdDt,A1510180031,precipitation,humidity,rainy,temperature,wind direction,wind speed
2021-09-01 00,0.227,0,85,0,26,189,2
2021-09-01 01,0.175,0,85,0,26,181,3
2021-09-01 02,0.156,0,85,0,26,213,2
2021-09-01 03,0.155,0,85,0,26,213,2
2021-09-01 04,0.161,0,80,0,26,188,4
2021-09-01 05,0.157,0,80,0,26,200,3
2021-09-01 06,0.159,0,80,0,26,196,4
2021-09-01 07,0.155,0,80,0,27,209,4
2021-09-01 08,0.159,0,75,0,27,209,5
2021-09-01 09,0.149,0,80,0,28,205,6
2021-09-01 10,0.147,5,85,0.2,27,216,5
2021-09-01 11,0.185,1,80,1.3,28,216,6
2021-09-01 12,0.234,1,90,2.1,26,232,4
2021-09-01 13,0.144,1,85,0.6,28,228,4
2021-09-01 14,0.166,0,85,0,28,208,4
2021-09-01 15,0.171,0,85,0,28,213,4
2021-09-01 16,0.161,0,80,0,28,214,4
2021-09-01 17,0.149,1,90,8.1,27,241,4
2021-09-01 18,0.161,1,85,1.9,26,223,2
2021-09-01 19,0.166,0,90,0,26,231,3
2021-09-01 20,0.165,1,85,0.3,26,262,4
2021-09-01 21,0.165,0,85,0,25,293,3
2021-09-01 22,0.166,0,85,0,25,310,2
2021-09-01 23,0.239,0,85,0,25,282,1
2021-09-02 00,0.16,0,80,0,24,36,3
2021-09-02 01,0.161,0,85,0,24,51,3
2021-09-02 02,0.146,0,80,0,24,62,4
2021-09-02 03,0.152,5,85,0.1,23,72,3
2021-09-02 04,0.147,5,85,0.1,23,61,3
2021-09-02 05,0.156,0,85,0,23,63,4
2021-09-02 06,0.155,5,85,0.1,22,72,5
2021-09-02 07,0.156,5,85,0.1,23,53,4
2021-09-02 08,0.155,5,80,0.1,23,56,4
2021-09-02 09,0.153,0,80,0,24,61,4
2021-09-02 10,0.23,0,80,0,24,44,3
2021-09-02 11,0.16,1,80,0.8,24,35,2
2021-09-02 12,0.152,1,85,1.5,23,68,4
2021-09-02 13,0.167,5,85,0.2,24,59,3
2021-09-02 14,0.166,1,85,1,23,30,2
2021-09-02 15,0.158,1,90,0.9,23,68,2
2021-09-02 16,0.164,1,90,0.6,23,86,2
2021-09-02 17,0.156,5,90,0.1,23,87,2
2021-09-02 18,0.144,5,85,0.1,22,94,2
2021-09-02 19,0.153,0,85,0,22,81,2
2021-09-02 20,0.154,5,85,0.1,22,74,3
2021-09-02 21,0.236,0,85,0,22,58,5
2021-09-02 22,0.185,1,90,0.5,21,50,5
2021-09-02 23,0.153,1,90,0.4,21,49,5
2021-09-03 00,0.15,1,90,0.3,21,52,4
2021-09-03 01,0.153,1,90,0.4,21,37,4
2021-09-03 02,0.115,5,90,0.1,21,53,5
2021-09-03 03,0.149,5,90,0.2,21,61,5
2021-09-03 04,0.165,5,85,0.1,21,43,5
2021-09-03 05,0.164,5,85,0.1,21,48,5
2021-09-03 06,0.156,0,85,0,21,55,5
2021-09-03 07,0.229,5,85,0.1,21,46,4
2021-09-03 08,0.154,5,85,0.2,21,38,5
2021-09-03 09,0.153,0,80,0,22,38,5
